id,value
id_227,43.0210592326
id_228,35.5225020014
id_229,30.9740266188
id_230,13.7405615962
id_231,32.9670672184
id_232,8.11355543102
id_233,27.9097878189
id_234,51.8602541037
id_235,21.3779800514
id_236,17.2260803495
id_237,15.8303410083
id_238,18.2357302483
id_239,30.1995443521
id_240,27.9934738687
id_241,66.9355453459
id_242,37.168322789
id_243,30.8620943987
id_244,49.392281033
id_245,39.8050835255
id_246,39.3248326939
id_247,43.5724048425
id_248,25.7350335648
id_249,9.85883185823
id_250,15.5628954485
id_251,36.4550059235
id_252,16.4673143949
id_253,29.7505142813
id_254,25.1601064617
id_255,31.4034853507
id_256,37.6707805302
id_257,8.84357669549
id_258,29.8551622194
id_259,38.3644453754
