id,value
id_118,28.5611165444
id_119,50.8649697363
id_120,20.3087471059
id_121,33.4898438217
id_122,67.5996948595
id_123,8.26816837428
id_124,24.8268973455
id_125,7.97012163918
id_126,30.5787851026
id_127,18.3789191917
id_128,24.5666059341
id_129,42.90018981
id_130,8.1369218973
id_131,52.0519363207
id_132,17.6741023775
id_133,-5.44061192697
id_134,20.2520093101
id_135,32.6644578282
id_136,57.8738505674
id_137,74.3175892093
id_138,20.5030757737
id_139,52.2373528148
id_140,75.3421084336
id_141,16.2305964011
id_142,33.2616235774
id_143,31.6269777731
id_144,32.219983015
id_145,12.9656726556
id_146,31.5316188966
id_147,40.9770690695
id_148,30.0189884777
id_149,15.9570269036
id_150,46.332195214
id_151,38.0133528179
id_152,49.1960928316
id_153,24.731832779
id_154,12.4861827364
id_155,57.9024191195
id_156,12.9023579152
id_157,20.0403997778
id_158,43.0752170974
id_159,23.6285812233
id_160,12.1237515002
id_161,87.3478564169
id_162,51.10231794
id_163,36.3089701923
id_164,35.3623736127
id_165,32.6514588881
id_166,48.3502669595
id_167,56.6822181234
id_168,17.4333481496
id_169,21.9173328124
id_170,28.7762957047
id_171,28.2590302314
id_172,26.8080590669
id_173,37.5862033928
id_174,83.6424847217
id_175,54.0005506209
id_176,16.6774810836
id_177,27.8220585106
id_178,53.8465938235
id_179,29.1805848107
id_180,18.962582234
id_181,31.6127716045
id_182,24.3749513735
id_183,35.0212946516
id_184,9.0595959157
id_185,35.2049715413
id_186,33.973220781
id_187,41.4826416711
id_188,69.5035371977
id_189,50.2713520878
id_190,8.40683117058
id_191,22.7813366597
id_192,16.1570414801
id_193,33.2938743492
id_194,28.1916253361
id_195,15.6722865235
id_196,13.7471162244
id_197,16.8099824717
id_198,20.5296425028
id_199,7.56101987159
id_200,12.5961708307
id_201,25.8332141164
id_202,30.987125368
id_203,62.954367309
id_204,12.2711225702
id_205,15.8090005951
id_206,58.2272373512
id_207,47.4993754563
id_208,18.4343926265
id_209,22.2987821009
id_210,39.0996095653
id_211,30.3788668478
id_212,32.4907588388
id_213,20.090869928
id_214,20.4154916104
id_215,4.1408040906
id_216,52.1515646439
id_217,12.1079973371
id_218,27.117237676
id_219,76.9539894723
id_220,47.8859737357
id_221,20.1824927906
id_222,37.8780342177
id_223,75.7224591578
id_224,29.5052101434
id_225,19.1974045465
id_226,10.0334627331
id_227,40.9786647867
id_228,31.133162941
id_229,28.2726076595
id_230,8.83746311642
id_231,28.1589581418
id_232,10.9777056935
id_233,28.1233683312
id_234,49.7121844302
id_235,22.1495080672
id_236,17.7351545975
id_237,8.80016400486
id_238,13.5020199727
id_239,26.5985201034
id_240,28.4524297254
id_241,69.631078676
id_242,34.4582685587
id_243,29.2881094006
id_244,51.3794519923
id_245,35.6620101629
id_246,37.8731190558
id_247,42.8949223801
id_248,19.4355736521
id_249,6.89926125222
id_250,17.806363184
id_251,35.1788819791
id_252,13.9468274167
id_253,25.9492537002
id_254,20.6737326147
id_255,31.8137352675
id_256,33.7563492284
id_257,-14.7009225365
id_258,32.3198362119
id_259,38.576802788
